HTYPE, DTYPE, COMPRESSION
generic, None, None
:ref:`image <image-htype>`, uint8, Required arg
:ref:`image.rgb <image-rgb-and-gray>`, uint8, Required arg
:ref:`image.gray <image-rgb-and-gray>`, uint8, Required arg
:ref:`video <video-htype>`, uint8, Required arg
:ref:`audio <audio-htype>`, float64, Required arg
:ref:`class_label <class-label-htype>`, uint32, None
:ref:`bbox <bbox-htype>`, float32, None
:ref:`bbox.3d <bbox-3d-htype>`, float32, None
:ref:`segment_mask <segment-mask-htype>`, uint32, None
:ref:`binary_mask <binary-mask-htype>`, bool, None
:ref:`keypoints_coco <keypoints-coco-htype>`, int32, None
:ref:`point <point-htype>`, int32, None
:ref:`polygon <polygon-htype>`,float32,None
text, str, None
json, Any, None
list, List, None
dicom, None, dcm
:ref:`nifti <nifti-htype>`,None,Required arg
:ref:`point_cloud <point_cloud-htype>`, None, las
:ref:`mesh <mesh-htype>`, None, ply
instance_label, uint32, None
:ref:`link <link-htype>`, str, None
:ref:`sequence <sequence-htype>`, None, None
